Id,MSSubClass,MSZoning_0,MSZoning_1,MSZoning_2,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Condition1_0,Condition1_1,Condition1_2,Condition1_3,Condition2_0,Condition2_1,Condition2_2,Condition2_3,BldgType_0,BldgType_1,BldgType_2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle_0,RoofStyle_1,RoofStyle_2,RoofMatl_0,RoofMatl_1,RoofMatl_2,RoofMatl_3,Exterior1st_0,Exterior1st_1,Exterior1st_2,Exterior1st_3,Exterior2nd_0,Exterior2nd_1,Exterior2nd_2,Exterior2nd_3,Exterior2nd_4,MasVnrArea,ExterQual,ExterCond,Foundation_0,Foundation_1,Foundation_2,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating_0,Heating_1,Heating_2,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType_0,SaleType_1,SaleType_2,SaleType_3,SaleCondition_0,SaleCondition_1,SaleCondition_2,MasVnrType_BrkFace,MasVnrType_Stone,MasVnrType_nan,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_ELO,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,SalePrice
1,60,0,0,1,65.0,8450,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,7,5,2003,2003,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,196.0,1,2,0,0,1,2,3,4,1,706.0,6,0.0,150.0,856.0,0,0,1,0,1,856,854,0,1710,1.0,0.0,2,1,3,1,1,8,0,0,0,2,2003.0,2,2.0,548.0,3,3,0,0,61,0,0,0,0,5,0,2,2008,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,208500
2,20,0,0,1,80.0,9600,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,6,8,1976,1976,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,2,2,0,1,0,2,3,1,2,978.0,6,0.0,284.0,1262.0,0,0,1,0,1,1262,0,0,1262,0.0,1.0,2,0,3,1,2,6,0,1,3,2,1976.0,2,2.0,460.0,3,3,0,298,0,0,0,0,0,5,0,5,2007,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,181500
3,60,0,0,1,68.0,11250,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,7,5,2001,2002,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,162.0,1,2,0,0,1,2,3,3,1,486.0,6,0.0,434.0,920.0,0,0,1,0,1,920,866,0,1786,1.0,0.0,2,1,3,1,1,6,0,1,3,2,2001.0,2,2.0,608.0,3,3,0,0,42,0,0,0,0,5,0,9,2008,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,223500
4,70,0,0,1,60.0,9550,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,4,7,5,1915,1970,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0.0,2,2,0,1,1,3,2,4,2,216.0,6,0.0,540.0,756.0,0,0,1,1,1,961,756,0,1717,1.0,0.0,1,0,3,1,1,7,0,1,4,6,1998.0,3,3.0,642.0,3,3,0,0,35,272,0,0,0,5,0,2,2006,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,140000
5,60,0,0,1,84.0,14260,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,4,8,5,2000,2000,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,350.0,1,2,0,0,1,2,3,2,1,655.0,6,0.0,490.0,1145.0,0,0,1,0,1,1145,1053,0,2198,1.0,0.0,2,1,4,1,1,9,0,1,3,2,2000.0,2,3.0,836.0,3,3,0,192,84,0,0,0,0,5,0,12,2008,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,250000
6,50,0,0,1,85.0,14115,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,5,5,1993,1995,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,2,2,1,0,0,2,3,4,1,732.0,6,0.0,64.0,796.0,0,0,1,0,1,796,566,0,1362,1.0,0.0,1,1,1,1,2,5,0,0,0,2,1993.0,3,2.0,480.0,3,3,0,40,30,0,320,0,0,2,700,10,2009,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,143000
7,20,0,0,1,75.0,10084,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,8,5,2004,2005,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,186.0,1,2,0,0,1,1,3,2,1,1369.0,6,0.0,317.0,1686.0,0,0,1,0,1,1694,0,0,1694,1.0,0.0,2,0,3,1,1,7,0,1,4,2,2004.0,2,2.0,636.0,3,3,0,255,57,0,0,0,0,5,0,8,2007,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,307000
8,60,0,0,1,0.0,10382,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,4,7,6,1973,1973,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,240.0,2,2,0,1,0,2,3,3,2,859.0,3,32.0,216.0,1107.0,0,0,1,0,1,1107,983,0,2090,1.0,0.0,2,1,3,1,2,7,0,2,3,2,1973.0,2,2.0,484.0,3,3,0,235,204,228,0,0,0,5,350,11,2009,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,200000
9,50,0,1,0,51.0,6120,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,7,5,1931,1950,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0.0,2,2,0,1,1,3,3,4,6,0.0,6,0.0,952.0,952.0,0,0,1,1,1,1022,752,0,1774,0.0,0.0,2,0,2,2,2,8,1,2,3,6,1931.0,3,2.0,468.0,4,3,0,90,0,205,0,0,0,5,0,4,2008,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,129900
11,20,0,0,1,70.0,11200,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5,5,1965,1965,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0,2,2,0,1,0,3,3,4,4,906.0,6,0.0,134.0,1040.0,0,0,1,0,1,1040,0,0,1040,1.0,0.0,1,0,3,1,2,5,0,0,0,6,1965.0,3,1.0,384.0,3,3,0,0,0,0,0,0,0,5,0,2,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,129500
